Number	Morph	Frequency
60	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With	26
61	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With	25
62	Verb+Verb+Caus+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	25
63	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+With	22
64	Noun+NoHats+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With	22
65	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	22
66	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	20
67	Noun+A3sg+Pnon+Nom+Verb+Become+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	17
68	Verb+Recip+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	16
69	Verb+Pos+Noun+NotState+A3sg+Pnon+Nom+Adj+With	15
70	Adj+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+With	14
71	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	13
72	Noun+Prop+A3sg+Pnon+Nom+Noun+Dim+A3sg+Pnon+Nom+Adj+With	10
73	Verb+Verb+Caus+Verb+Able+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	10
74	Adj+NoHats+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	9
75	Adj+Verb+Become+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	9
76	Verb+Reflex+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	9
77	Verb+Reflex+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	9
78	Verb+Pos+Noun+PastPart+A3sg+Pnon+Nom+Adj+With	8
79	Verb+Verb+Hastily+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	8
80	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Adj+With	7
81	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	7
82	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	7
83	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Adj+With	6
