Number	Morph	Frequency
271	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Dat	63
272	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3sg	63
273	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Dat	62
274	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Abl	61
275	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Loc	61
276	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom	61
277	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Abl	60
278	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1pl+Equ	60
279	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Acc	59
280	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Gen	59
281	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Adv+ByDoingSo	59
282	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3pl+P3sg+Nom	59
283	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Dat	58
284	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Gen	58
285	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3pl+Pnon+Dat	58
286	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Gen	58
287	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Acc	58
288	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Loc	57
289	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Dat	56
290	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2sg	56
291	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Acc	56
292	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Narr+A3sg	56
293	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Past+A2pl	56
294	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	56
295	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Acc	54
296	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Verb+Past+A3sg	54
297	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc	53
298	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Dat	52
299	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Dat	52
300	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	52
301	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Nom	52
302	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	51
303	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Loc+Adj+Rel	51
304	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Dat	50
305	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1pl+Dat	49
306	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Dat	49
307	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Verb+Past+A3sg	49
308	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf1+A3sg+Pnon+Nom	48
309	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Gen	47
310	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	47
311	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	47
312	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	47
313	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Gen	46
314	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	46
315	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Loc	46
316	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Abl	45
317	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Nom	45
318	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Abl+Verb+Pres+Cop+A3sg	44
319	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Acc	44
320	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc+Adj+Rel	44
321	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Loc+Adj+Rel	43
322	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+Without	43
323	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Loc	43
324	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Ins	43
325	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Abl	43
326	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	42
327	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A3pl	42
328	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Pres+A1pl	41
329	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Equ	40
330	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom+Verb+Past+A3sg	40
331	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A3pl	40
332	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2pl+Acc	39
333	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P2pl+Dat	39
334	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Adv+ByDoingSo	39
335	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Past+A3sg	38
336	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Gen	38
337	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Acc	38
338	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Past+A1sg	38
339	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Acc	38
340	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Loc	36
341	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Ins	36
342	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Able+Pos+Aor+A3sg	35
343	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	35
344	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	35
345	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Gen	35
346	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	35
347	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	35
348	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	35
349	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Dat	34
350	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3pl+Pnon+Gen	34
351	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Loc	34
352	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Abl	34
353	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Dat	33
354	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Cond+A2pl	33
355	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Gen	33
356	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Ins	32
357	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Nom+Verb+Pres+Cop+A3sg	32
358	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	32
359	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Verb+Past+A3sg	32
360	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg	32
361	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen+Pron+Rel+A3sg+Pnon+Nom	31
362	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Cond+A3sg	31
363	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+PastPart+A3sg+P3sg+Loc	31
364	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	31
365	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Dat	31
366	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	31
367	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	31
368	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Dat	31
369	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Abl	30
370	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	30
371	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Abl	30
372	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1pl	30
373	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Loc	30
374	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Gen	29
375	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1pl+Acc	29
376	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Ins	29
377	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Acc	29
378	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Equ	28
379	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Dat	28
380	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Adj+FutPart+P3sg	28
381	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Fut+A3sg+Cop+A3sg	28
382	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Narr+A3sg+Cop+A3sg	28
383	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Abl	28
384	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Acc	28
385	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Gen	28
386	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	28
387	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Acc	28
388	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Ins	28
389	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	28
390	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	27
391	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Nom+Verb+Pres+Cop+A3sg	27
392	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Aor+A3sg	27
393	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Gen	27
394	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	27
395	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	27
396	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Gen	27
397	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	27
398	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A3sg	27
399	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1sg+Nom	26
400	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	26
401	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	26
402	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Abl	26
403	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Loc	26
404	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Dat	25
405	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Apos+Gen	25
406	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Abl	25
407	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Ins	25
408	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Acc	25
409	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Nom	25
410	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2pl	24
411	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Gen	24
412	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P2pl+Gen	24
413	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	24
414	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Past+A3sg	24
415	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Adj+PresPart	24
416	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Dat	24
417	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	24
418	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom+Verb+Past+A3sg	23
419	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Loc	23
420	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Loc+Adj+Rel	23
421	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2pl+Dat	23
422	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2pl+Loc	23
423	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Aor+A3sg+Adv+While	23
424	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Acc	23
425	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Abl	22
426	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Nom	22
427	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Abl	22
428	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Narr+A3sg	22
429	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Past+A1sg	22
430	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Neg+Narr+A3sg	22
431	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Loc	22
432	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Loc	22
433	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1pl	22
434	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Nom	22
435	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Acc	22
436	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Acc	22
437	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Acc	22
438	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Nom	21
439	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Abl	21
440	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	21
441	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P2pl+Acc	21
442	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Ins	21
443	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc+Verb+Pres+Cop+A3sg	21
444	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf1+A3sg+Pnon+Abl	21
445	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	21
446	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Able+Pos+Adj+FutPart+P3sg	21
447	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Able+Pos+Prog1+A3sg	21
448	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Narr+A3sg	21
449	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Acc	21
450	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Acc	21
451	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Abl	21
452	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Dat	21
453	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Past+A1pl	21
454	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Prog2+A3sg	20
455	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg	20
456	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Prog1+A3sg	20
457	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	20
458	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A3sg	20
459	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Gen	19
460	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Loc	19
461	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+FutPart+A3sg+P3sg+Acc	19
462	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	19
463	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen+Verb+Pres+Cop+A3sg	19
464	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Acc	19
465	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	19
466	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Ins	18
467	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Dat+Verb+Pres+A1sg	18
468	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Abl	18
469	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Nom+Verb+Past+A3sg	18
470	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Apos+Abl	18
471	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Verb+Cond+A3sg	18
472	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Dat	18
473	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Nom	18
474	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	18
475	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg	18
476	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Abl+Verb+Pres+A1sg	17
477	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Loc+Adj+Rel	17
478	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Ins	17
479	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Adv+AfterDoingSo	17
480	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Ins	17
481	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A2pl	17
482	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3pl	17
483	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Gen	16
484	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Nom+Verb+Pres+Cop+A3sg	16
485	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Past+A1pl	16
486	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Abl	16
487	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P1pl+Abl	16
488	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Gen	16
489	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Aor+A3pl	16
490	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+PastPart+A3sg+P3sg+Gen	16
491	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	16
492	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	16
493	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Abl	16
494	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Gen	16
495	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1sg+Ins	16
496	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Dat	15
497	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Nom	15
498	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Ins	15
499	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc+Verb+Pres+A1pl	15
500	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Prog1+A3pl	15
501	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Loc	15
502	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Loc	15
503	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Dat	15
504	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3pl	15
505	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1pl+Abl	14
506	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen+Pron+Rel+A3sg+Pnon+Nom	14
507	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Adv+When	14
508	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Narr+Past+A3sg	14
509	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Loc	14
510	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Gen	14
511	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	14
512	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Dat	14
513	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom+Verb+Past+A3sg	13
514	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Apos+Acc	13
515	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg+Cop+A3sg	13
516	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom+Verb+Pres+A2sg	13
517	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Loc+Verb+Pres+Cop+A3sg	13
