Number	Morph	Frequency
67	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Loc	960
68	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc	959
69	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Equ	890
70	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Dat	885
71	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Loc	879
72	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Ins	873
73	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Ins	854
74	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A2pl	846
75	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Abl	844
76	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Abl	826
77	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Acc	819
78	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	772
79	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Gen	769
80	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Acc	759
81	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Dat	660
82	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1pl	658
83	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Acc	653
84	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	644
85	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	643
86	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Abl	641
87	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Ins	635
88	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Ins	630
89	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Loc	629
90	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Dat	627
91	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	609
92	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3sg	603
93	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Dat	600
94	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Acc	583
95	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Loc	570
96	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Equ	564
97	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Nom	546
98	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	536
99	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Dat	530
100	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Dat	515
101	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Loc	500
102	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	497
103	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	495
104	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Acc	481
105	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	436
106	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Acc	435
107	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Abl	422
108	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	420
109	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Dat	418
110	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Loc	411
111	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Acc	410
112	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	403
113	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	393
114	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	385
115	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Past+A3sg	380
116	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Abl	372
117	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg+Cop+A3sg	370
118	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Prog1+A3sg	367
119	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom	365
120	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+P3sg+Nom	351
121	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	346
122	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Abl	336
123	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Loc	332
124	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Narr+A3sg	329
125	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Dat	315
126	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Ins	312
127	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Dat	310
128	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	308
129	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Abl	307
130	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	305
131	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Adj+PresPart	305
132	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom+Verb+Past+A3sg	302
133	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Gen	295
134	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	293
135	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Acc	291
136	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Dat	291
137	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Gen	287
138	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Loc+Adj+Rel	279
139	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	276
140	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	273
141	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A1pl	267
142	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P1pl+Nom	262
143	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom+Verb+Past+A3sg	259
144	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	258
145	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Gen	255
146	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1pl+Nom	253
147	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Abl	250
