Number	Morph	Frequency
76	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	1912
77	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Acc	1861
78	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Nom	1825
79	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Gen	1811
80	Adj+Noun+Ness+A3sg+P1sg+Acc	1594
81	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Dat	1554
82	Adj+Noun+Ness+A3sg+P2pl+Nom	1537
83	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	1519
84	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Acc	1455
85	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Abl	1407
86	Adj+Noun+Ness+A3sg+Pnon+Nom+Verb+Past+A3sg	1301
87	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Abl	1292
88	Adj+Noun+Ness+A3sg+P2pl+Acc	1241
89	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Gen	1229
90	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Dat	1212
91	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	1199
92	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Acc	1198
93	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Ins	1198
94	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Ins	1190
95	Adj+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	1185
96	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Loc	1163
97	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Abl	1149
98	Adj+Noun+Ness+A3sg+P1pl+Gen	1142
99	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Acc	1081
100	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Abl	1055
101	Adj+NoHats+Noun+Ness+A3sg+P3sg+Nom	992
102	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Abl	987
103	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Loc	959
104	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	946
105	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Loc	907
106	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Dat	885
107	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Ins	878
108	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	862
109	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Abl	844
110	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Ins	832
111	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Loc	822
112	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P1pl+Acc	819
113	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P2pl+Nom	819
114	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Apos+Gen	813
115	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With	797
116	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	772
117	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Gen	769
118	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1pl+Gen	754
119	Adj+Noun+Ness+A3pl+P1pl+Nom	748
120	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P1sg+Acc	707
121	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Apos+Dat	683
122	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Gen	674
