Number	Morph	Frequency
63	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	114
64	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Loc	112
65	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Fut+A3sg	110
66	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Nom	108
67	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Apos+Dat	108
68	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Adv+ByDoingSo	105
69	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Past+A3sg	103
70	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3pl+P3sg+Acc	102
71	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Ins	102
72	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Aor+A3sg	90
73	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Ins	88
74	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Fut+A3sg	88
75	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+PastPart+A3sg+P3sg+Acc	81
76	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Narr+A3sg+Cop+A3sg	78
77	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	78
78	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom	77
79	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Adj+PastPart+P3sg	74
80	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	74
81	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+PastPart+A3sg+P3sg+Acc	73
82	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Loc	72
83	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom	72
84	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Dat	69
85	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Acc	68
86	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Narr+A3sg	67
87	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Dat	66
88	Adj+Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom	64
89	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Gen	63
90	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P1pl+Dat	61
